season	daytype	route_id	route_pattern_id	route_pattern_sort_order	direction_id	route_pattern_name	halfhour	stop_sequence	stop_id	checkpoint_id	checkpoint_or_stop_name	nextstop	paxhourstotal	paxhoursuncomfortable
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	4:30:00	1	110	hhgat	Harvard	2168		0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	4:30:00	2	2168			2166		0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	1	110	hhgat	Harvard	2168	0.059	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	2	2168			2166	0.028	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	3	2166			2167	0.019	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	4	2167			66	0.017	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	5	66			67	0.017	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	6	67	maput	Massachusetts Avenue & Putnam	68	0.017	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	7	68			69	0.016	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	8	69			71	0.016	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	9	71			72	0.086	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	10	72	cntsq	Central Square (Cambridge)	73	0.138	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	11	73			74	0.144	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	12	74			75	0.219	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	13	75	mit	MIT @ Massachusetts Avenue	77	0.208	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	14	77			79	0.197	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	15	79	hynes	Hynes Station	80	0.159	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	16	80			82	0.135	0
Fall 2017	weekday	1	1-_-1	1001000	1	Dudley	5:00:00	17	82			187	0.066	0
