season	daytype	route_id	route_pattern_id	route_pattern_sort_order	direction_id	route_pattern_name	halfhour	stop_sequence	stop_id	checkpoint_id	checkpoint_or_stop_name	nextstop	paxhourstotal	paxhoursuncomfortable
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	1	33	ctypt	City Point	10033	0.004	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	2	10033			34	0.007	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	3	34			35	0.007	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	4	35			895	0.028	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	5	895			896	0.03	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	6	896			41	0.051	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	7	41	lbrwy	L Street @ Broadway	42	0.041	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	8	42			43	0.07	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	9	43			44	0.082	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	10	44			45	0.08	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	11	45	perks	Perkins Square (Dorchester) @ Broadway (Southbound)	158	0.197	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	12	158			159	0.13	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	13	159			160	0.139	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	14	160			161	0.147	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	15	161			162	0.2	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	16	162			163	0.2	0
Fall 2017	weekday	9	9-_-1	9001002	1	Copley Square	5:00:00	17	163			150	0.287	0
