season,sdp_route,route,direction,daytype,halfhour,paxhourstotal,paxhoursuncomfortable,planned_frequency,day_to_day_demand_variability,dropped_trips,within_day_demand_variability,headway_variability
Fall 2017,111,111,0,weekday,4.5,,0,0,0,0,0,0
Fall 2017,111,111,0,weekday,5,3.324387689,0,0,0,0,0,0
Fall 2017,111,111,0,weekday,5.5,5.346755624,0,0,0,0,0,0
Fall 2017,111,111,0,weekday,6,11.13191063,0,0,0,0,0,0
Fall 2017,111,111,0,weekday,6.5,8.616104938,0.059303086,0,0,0.042355556,0,0.016947531
Fall 2017,111,111,0,weekday,7,13.92128512,0.746886728,0,0,0.026525514,0.334581915,0.385779299
Fall 2017,111,111,0,weekday,7.5,11.64384637,0.531835905,0,0,0.424316804,0.107519102,0
Fall 2017,111,111,0,weekday,8,15.73428663,0.992508608,0,0,0.126994547,0.068780704,0.796733356
Fall 2017,111,111,0,weekday,8.5,13.81151879,0.566452058,0,0,0.292556653,0.273895404,0
Fall 2017,111,111,0,weekday,9,12.54941111,0.611440569,0,0,0.067648491,0,0.543792078
Fall 2017,111,111,0,weekday,9.5,12.77631279,0.043797154,0,0,0.028866701,0.014930453,0
Fall 2017,111,111,0,weekday,10,17.28359105,0.068669719,0,0,0.003316975,0.065352744,0
Fall 2017,111,111,0,weekday,10.5,17.49044132,0.024709774,0,0,0,0.024709774,0
Fall 2017,111,111,0,weekday,11,17.70793052,0.487087551,0,0,0.062096708,0,0.424990844
Fall 2017,111,111,0,weekday,11.5,28.30677325,0.220249794,0,0.038609968,0,0.181639826,0
Fall 2017,111,111,0,weekday,12,21.13101389,0.093014918,0,0,0.009883402,0.029209834,0.053921682
Fall 2017,111,111,0,weekday,12.5,31.96891927,2.433459739,0,1.734416523,0,0,0.699043216
Fall 2017,111,111,0,weekday,13,25.79045964,1.782034019,0,0.271093529,0.126721766,0.412009024,0.972209701
Fall 2017,111,111,0,weekday,13.5,30.72607586,2.486639678,0,0.058253333,0.611090922,1.19470727,0.622588152
Fall 2017,111,111,0,weekday,14,33.12208995,3.583113889,0,0.039894033,1.027119667,0.452762102,2.063338087
Fall 2017,111,111,0,weekday,14.5,42.29519393,6.637920713,0,0.571508299,0.495606802,2.92028792,2.650517693
Fall 2017,111,111,0,weekday,15,61.89695854,9.615033951,0,0,1.274360608,6.821814348,1.518858994
Fall 2017,111,111,0,weekday,15.5,60.5074106,8.760107339,0,0,1.223653286,7.105844718,0.430609336
Fall 2017,111,111,0,weekday,16,73.44808899,15.58951763,0,0.799851102,0.637342701,8.234479813,5.917844011
Fall 2017,111,111,0,weekday,16.5,73.40635158,17.63970689,0,0,3.687418139,10.27767576,3.674612992
Fall 2017,111,111,0,weekday,17,80.89555652,21.52194228,0,0,4.68197729,14.63768455,2.20228044
Fall 2017,111,111,0,weekday,17.5,72.08658237,18.53625151,0,0.135544444,4.004481057,10.06427929,4.331946714
Fall 2017,111,111,0,weekday,18,64.77206293,18.46045737,0,0,4.942624033,7.859411508,5.658421833
Fall 2017,111,111,0,weekday,18.5,51.30305549,13.33698062,0,0.199980396,3.427112949,6.039000487,3.670886792
Fall 2017,111,111,0,weekday,19,36.7474333,9.49716358,0,1.130262851,3.761789554,1.06310474,3.542006435
Fall 2017,111,111,0,weekday,19.5,33.02822236,8.079600034,0,2.920995026,0,3.452932764,1.705672245
Fall 2017,111,111,0,weekday,20,31.75742757,7.826313614,0,1.166702576,2.336007724,1.264787153,3.058816162
Fall 2017,111,111,0,weekday,20.5,28.80987445,6.074420953,0,1.088919961,0.635724707,1.702321313,2.647454974
Fall 2017,111,111,0,weekday,21,30.51720576,4.386465432,0,0.300120289,2.174446395,0.319946224,1.591952524
Fall 2017,111,111,0,weekday,21.5,29.63713978,7.16483227,0,0.308086626,0.934655458,1.347190847,4.574899339
Fall 2017,111,111,0,weekday,22,27.80455449,6.402582544,0,2.639367754,0,2.167605208,1.595609583
Fall 2017,111,111,0,weekday,22.5,31.55105607,9.219467867,0,4.269647732,0,1.293001116,3.656819019
Fall 2017,111,111,0,weekday,23,28.3936833,6.475343347,0,3.502694243,0.801468533,2.171180571,0
Fall 2017,111,111,0,weekday,23.5,28.89838882,6.827077058,0,2.728601878,0,1.703497073,2.394978106
Fall 2017,111,111,0,weekday,24,21.70314729,2.514678326,0,0.435603612,0.119930608,1.674321094,0.284823012
Fall 2017,111,111,0,weekday,24.5,18.13352198,2.189695439,0,0.817001858,0,0.427178599,0.945514982
Fall 2017,111,111,0,weekday,25,3.664874589,0,0,0,0,0,0
Fall 2017,111,111,0,weekday,25.5,1.218369822,0,0,0,0,0,0
Fall 2017,111,111,0,weekday,26,,0,0,0,0,0,0
Fall 2017,111,111,0,weekday,26.5,,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,4.5,5.27635168,0.105615398,0,0.105615397,0,0,5.56E-10
Fall 2017,111,111,1,weekday,5,43.00564671,14.86402898,1.425335412,8.673039178,0,0,4.765654388
Fall 2017,111,111,1,weekday,5.5,54.38018093,17.15425243,0,3.975765772,4.499624617,0,8.678862046
Fall 2017,111,111,1,weekday,6,72.48526739,26.55519787,0,5.170264506,10.26225144,0,11.12268193
Fall 2017,111,111,1,weekday,6.5,106.5355139,40.40715226,0,7.518215659,12.94262936,1.115009664,18.83129758
Fall 2017,111,111,1,weekday,7,93.24052819,43.07939983,33.51425394,6.287456708,0,0,3.277689181
Fall 2017,111,111,1,weekday,7.5,81.41353357,30.30935237,0,1.6770064,17.66735604,0,10.96498992
Fall 2017,111,111,1,weekday,8,77.98990799,23.32720069,0,0.783516003,11.06090255,0,11.48278213
Fall 2017,111,111,1,weekday,8.5,59.31350456,8.997009979,0,4.098222237,0,0,4.898787743
